Time,X,Y,Z,Norm
0.005,4.64,-11.23,14.42,18.86
0.013,4.54,-10.94,14.52,18.73
0.031,4.54,-10.84,14.61,18.75
0.050,4.34,-11.13,14.91,19.11
0.071,4.93,-10.94,14.52,18.83
0.091,4.83,-10.84,14.81,18.98
0.111,4.54,-11.04,14.52,18.79
0.130,4.54,-11.23,14.42,18.83
0.151,4.73,-11.23,14.61,19.03
0.173,4.44,-11.23,14.32,18.73
0.192,4.73,-11.52,14.71,19.28
0.216,4.34,-11.33,14.91,19.22
0.231,4.44,-11.04,14.71,18.92
0.251,4.83,-11.33,14.71,19.19
0.272,4.44,-11.62,14.61,19.19
0.292,4.73,-11.43,14.32,18.92
0.316,4.93,-11.43,14.91,19.42
0.332,4.73,-11.72,15.30,19.84
0.353,4.54,-11.72,14.61,19.27
0.373,4.44,-11.13,14.52,18.83
0.393,4.44,-11.33,14.91,19.24
0.413,4.54,-11.62,14.91,19.44
0.434,4.54,-11.13,14.42,18.77
0.454,4.73,-11.13,14.52,18.90
0.474,4.25,-10.84,14.32,18.46
0.494,4.54,-10.94,14.42,18.66
0.514,4.34,-11.13,14.71,18.95
0.534,4.54,-10.94,14.22,18.51
0.554,4.54,-11.04,14.42,18.72
0.574,4.44,-11.04,14.52,18.77
0.594,4.25,-11.23,14.32,18.69
0.614,4.64,-11.04,14.22,18.59
0.634,4.44,-11.43,14.71,19.15
0.660,4.73,-11.23,14.22,18.73
0.674,4.54,-11.23,15.00,19.28
0.695,4.93,-10.94,14.81,19.06
0.716,4.73,-11.23,14.71,19.10
0.736,4.64,-11.04,14.81,19.04
0.757,4.64,-11.13,14.91,19.17
0.775,4.64,-11.13,14.91,19.17
0.797,4.44,-10.94,14.52,18.71
0.816,4.54,-11.33,14.32,18.82
0.835,4.83,-10.94,14.52,18.81
0.856,4.73,-10.84,14.61,18.80
0.876,4.83,-10.84,14.52,18.75
0.896,4.73,-11.33,14.32,18.86
0.916,4.44,-11.23,14.32,18.73
0.936,4.44,-11.04,15.00,19.15
0.957,4.44,-11.04,14.42,18.69
0.977,4.83,-11.04,14.52,18.86
0.996,4.44,-10.84,14.61,18.73
1.017,4.44,-10.84,14.52,18.65
1.037,4.64,-10.74,14.61,18.72
1.058,4.44,-11.13,14.61,18.90
1.079,4.44,-11.13,14.81,19.05
1.099,4.64,-10.55,14.81,18.76
1.118,4.44,-11.04,14.42,18.69
1.138,4.54,-10.94,14.91,19.04
1.160,4.64,-11.04,14.81,19.04
1.180,4.83,-10.94,14.71,18.96
1.198,4.54,-11.33,14.61,19.04
1.219,4.83,-11.23,14.32,18.83
1.239,4.64,-11.23,14.81,19.16
1.258,4.64,-10.65,14.52,18.59
1.278,4.44,-10.35,14.32,18.22
1.298,4.15,-10.65,14.61,18.55
1.319,4.83,-10.84,14.61,18.83
1.339,5.03,-10.84,14.71,18.95
1.358,4.73,-10.84,14.71,18.88
1.378,4.44,-10.94,14.91,19.02
1.400,4.54,-10.55,14.52,18.51
1.419,4.73,-11.04,14.52,18.84
1.440,4.64,-11.23,14.42,18.86
1.459,4.73,-11.23,14.61,19.03
1.480,4.93,-11.33,14.91,19.36
1.501,4.64,-10.74,14.42,18.57
1.520,5.03,-11.04,14.81,19.14
1.542,4.73,-10.84,14.61,18.80
1.562,4.93,-10.84,14.71,18.93
1.583,4.83,-10.94,14.42,18.73
1.601,4.54,-10.94,14.52,18.73
1.621,4.83,-10.65,14.52,18.64
1.641,4.64,-10.74,14.71,18.80
1.661,4.54,-11.04,14.52,18.79
1.681,4.83,-11.13,14.71,19.07
1.701,4.44,-11.13,14.71,18.98
1.722,4.44,-10.84,14.42,18.58
1.743,4.34,-11.33,14.71,19.07
1.763,4.83,-11.04,14.52,18.86
1.784,4.83,-11.23,14.61,19.05
1.804,4.34,-11.13,14.61,18.88
1.822,4.34,-10.94,14.32,18.54
1.842,4.83,-10.94,14.13,18.51
1.862,4.64,-10.84,14.71,18.85
