Time,X,Y,Z,Norm
0.006,-7.47,20.91,-5.20,22.80
0.029,-7.57,20.71,-5.20,22.66
0.046,-7.57,20.81,-5.30,22.77
0.071,-7.37,20.81,-5.40,22.73
0.087,-7.27,20.81,-5.01,22.61
0.107,-7.37,20.71,-5.40,22.64
0.130,-7.37,20.61,-5.49,22.57
0.148,-7.57,21.10,-5.40,23.06
0.168,-7.08,20.71,-5.20,22.50
0.188,-7.17,20.52,-5.49,22.42
0.208,-8.05,20.81,-5.40,22.96
0.230,-7.57,21.01,-5.20,22.92
0.249,-7.66,20.91,-5.79,23.01
0.268,-7.57,20.71,-5.69,22.77
0.289,-7.76,20.81,-5.01,22.77
0.308,-7.37,20.52,-5.49,22.48
0.330,-7.66,20.81,-5.59,22.87
0.349,-7.37,20.42,-5.49,22.39
0.369,-7.47,20.71,-5.79,22.77
0.389,-7.76,20.32,-5.69,22.48
0.410,-7.86,20.71,-5.49,22.82
0.435,-7.66,20.22,-5.49,22.31
0.452,-7.47,20.42,-5.20,22.36
0.470,-7.76,20.61,-5.20,22.63
0.490,-7.57,20.91,-5.20,22.83
0.513,-7.47,21.01,-5.69,23.01
0.532,-7.66,20.71,-5.30,22.71
0.552,-7.86,20.91,-5.20,22.93
0.571,-7.57,20.42,-5.30,22.41
0.592,-7.17,20.32,-5.30,22.19
0.613,-6.98,20.81,-5.10,22.53
0.631,-7.47,21.10,-5.49,23.05
0.652,-7.76,21.01,-5.40,23.03
0.672,-7.37,20.71,-5.20,22.59
0.692,-7.37,20.81,-5.89,22.85
0.713,-7.37,20.81,-5.10,22.66
0.732,-7.66,20.91,-5.69,22.98
0.752,-7.57,20.71,-4.81,22.57
0.772,-7.96,20.61,-5.49,22.77
0.792,-7.76,20.81,-5.30,22.83
0.816,-7.47,20.81,-5.40,22.76
0.840,-7.27,20.61,-5.69,22.59
0.853,-7.47,20.71,-5.49,22.69
0.873,-7.37,20.52,-5.49,22.48
0.893,-7.17,20.52,-5.49,22.42
0.914,-7.47,20.91,-5.49,22.87
0.934,-7.57,20.32,-5.59,22.39
0.954,-7.37,20.32,-5.59,22.33
0.974,-7.47,20.91,-5.20,22.80
0.994,-7.47,20.61,-4.81,22.45
1.014,-7.57,20.91,-5.49,22.90
1.034,-7.37,20.71,-5.49,22.66
1.054,-7.17,20.91,-5.79,22.85
1.075,-7.17,20.81,-5.30,22.64
1.100,-7.37,20.61,-5.10,22.48
1.115,-7.47,20.81,-4.91,22.65
1.134,-7.37,20.81,-5.10,22.66
1.155,-7.47,20.81,-5.30,22.74
1.176,-7.47,20.61,-5.30,22.56
1.196,-7.66,20.71,-5.69,22.81
1.224,-7.08,20.42,-5.49,22.30
1.246,-7.47,20.32,-5.79,22.41
1.255,-7.37,20.32,-5.40,22.28
1.275,-7.27,20.52,-5.59,22.47
1.297,-7.37,20.42,-5.20,22.32
1.316,-7.86,20.91,-5.30,22.96
1.338,-7.17,20.61,-5.30,22.46
1.356,-7.08,20.81,-5.59,22.68
1.377,-7.37,20.71,-5.69,22.71
1.396,-7.17,20.81,-5.49,22.69
1.418,-7.27,20.81,-5.20,22.65
1.438,-7.37,20.22,-5.40,22.19
1.458,-7.66,20.22,-5.30,22.27
1.477,-7.17,20.42,-5.49,22.33
1.498,-7.47,20.61,-5.30,22.56
1.517,-7.57,20.71,-5.40,22.70
1.537,-7.17,20.13,-5.69,22.11
1.558,-7.08,20.42,-5.01,22.18
1.580,-7.27,20.52,-5.49,22.45
1.600,-7.37,20.52,-5.20,22.41
1.619,-7.66,20.42,-5.59,22.52
1.642,-7.76,20.42,-5.59,22.55
1.662,-7.27,20.32,-5.40,22.25
1.678,-7.17,20.32,-5.30,22.19
1.698,-7.08,20.61,-5.20,22.41
1.719,-7.37,20.32,-5.20,22.23
1.739,-7.47,19.83,-5.49,21.89
1.759,-7.17,20.42,-5.40,22.31
1.780,-6.98,20.13,-5.40,21.98
1.799,-6.98,20.32,-5.59,22.20
1.820,-7.08,20.42,-5.49,22.30
1.840,-7.47,20.61,-5.59,22.63
1.860,-7.37,20.22,-5.30,22.17
1.881,-7.57,20.42,-5.49,22.46
1.901,-7.37,20.52,-5.49,22.48
1.920,-7.37,20.52,-5.40,22.46
1.939,-7.57,20.22,-5.20,22.21
1.960,-7.47,20.52,-5.59,22.54
1.982,-7.66,20.32,-5.59,22.43
2.002,-7.37,20.71,-5.49,22.66
2.021,-6.98,20.13,-5.40,21.98
2.042,-7.47,20.03,-5.59,22.09
2.063,-7.17,20.03,-4.91,21.83
2.081,-7.47,20.42,-5.40,22.40
2.103,-7.27,20.32,-5.30,22.22
2.123,-7.27,20.22,-5.49,22.18
2.142,-7.17,20.52,-5.49,22.42
2.161,-7.57,20.81,-5.89,22.91
2.187,-7.66,20.52,-5.40,22.56
2.202,-7.47,20.91,-5.49,22.87
2.222,-7.47,20.71,-5.30,22.65
