Time,X,Y,Z
637530062031630390, -0.1041128, 43.14717, -8.025042
637530062031656960, 0.2298542, 42.86177, -8.110358
637530062031660670, 0.04966733, 43.53231, -7.928999
637530062031663220, 0.139637, 43.57025, -7.927299
637530062031665480, -0.04977769, 42.75351, -7.724994
637530062031668080, 0.291234, 43.21035, -7.918399
637530062031670100, -0.08079736, 43.06554, -7.437119
637530062031672360, 0.1585029, 43.26516, -7.727093
637530062031674550, 0.1726745, 43.48305, -7.729842
637530062031677770, 0.139637, 43.57025, -7.927299
637530062031681220, 0.5301213, 43.6362, -7.625425
637530062031684010, 0.03063518, 43.3172, -7.731018
637530062031686400, -0.3669752, 43.77561, -8.13823
637530062031688830, -0.2013747, 43.1134, -7.733893
637530062031691960, -0.8500261, 43.15292, -7.946001
637530062031695460, 0.0616558, 43.00517, -8.018891
637530062031698880, 0.09242785, 43.43955, -8.122006
637530062031702240, 0.2318711, 43.08661, -7.625027
637530062031706220, 0.07113118, 43.74603, -8.224597
637530062031710440, -0.09237197, 43.36646, -7.930174
637530062031716570, 0.2699364, 43.51682, -8.020989
637530062031719770, 0.3574753, 43.55615, -7.921673
637530062031722580, 0.1420677, 43.56886, -8.024915
637530062031724970, 0.2537479, 43.0741, -8.503572
637530062031727060, 0.111461, 43.65466, -8.319987
637530062031729080, -0.01171243, 43.18372, -8.120957
637530062031731160, 0.0474842, 42.78728, -8.016142
637530062031733790, 0.1064342, 43.13725, -7.726568
637530062031737400, 0.1323447, 43.57442, -7.63445
637530062031740060, 0.2794932, 42.99107, -8.013267
637530062031742540, -0.0520422, 43.27509, -8.025566
637530062031746650, 0.1181731, 43.35653, -7.631701
637530062031751960, -0.1940825, 43.10923, -8.026741
637530062031757510, 0.2105735, 43.39308, -7.727617
637530062031761220, 0.1112957, 43.13447, -7.9218
637530062031765350, 0.2223143, 43.61235, -7.632751
637530062031768960, 0.1491947, 43.0445, -7.919575
637530062031773810, 0.1137264, 43.13308, -8.019416
637530062031776730, 0.1088649, 43.13586, -7.824183
637530062031779050, 0.0899971, 43.44094, -8.02439
637530062031781170, -0.1444426, 43.23854, -7.92965
637530062031783220, 0.1491947, 43.0445, -7.919575
637530062031785290, 0.09728935, 43.43677, -8.317238
637530062031787320, 0.01201594, 42.87586, -8.115983
637530062031789340, 0.2888032, 43.21174, -7.820783
637530062031791360, -0.1420118, 43.23715, -8.027266
637530062031793380, 0.1206039, 43.35514, -7.729317
637530062031795390, -0.00928168, 43.18233, -8.218574
637530062031797390, 0.1254654, 43.35236, -7.924549
637530062031799410, 0.01444669, 42.87447, -8.213599
637530062031801470, 2.841651E-05, 43.403, -8.026091
637530062031804070, -0.0378706, 43.49298, -8.028315
637530062031808040, 0.2036951, 43.17102, -8.017715
637530062031812400, 0.07784334, 43.44789, -7.53631
637530062031817630, -0.1420118, 43.23715, -8.027266
637530062031822570, 0.1870937, 42.95452, -7.91735
637530062031826410, 0.1540562, 43.04172, -8.114807
637530062031829540, -0.08507971, 43.36229, -8.223022
637530062031832760, 0.1657951, 43.26099, -8.01994
637530062031835740, -0.09480272, 43.36784, -7.832558
637530062031839040, -0.01414318, 43.18511, -8.023341
637530062031841550, -0.1847724, 43.32991, -7.834258
637530062031843660, -0.0471807, 43.27231, -8.220798
637530062031845720, -0.2106829, 42.89274, -7.926376
637530062031847740, -0.3268117, 43.16405, -7.835434
637530062031849920, -0.1065436, 43.14857, -7.927425
637530062031851940, 0.2012644, 43.17241, -7.9201
637530062032756060, 0.2174528, 43.61513, -7.437518
637530062032759810, 2.841651E-05, 43.403, -8.026091
637530062032762550, 0.08027409, 43.4465, -7.633926
637530062032764680, 0.2839417, 43.21452, -7.625551
637530062032766770, -0.1634747, 43.02343, -7.731668
637530062033392780, 0.1516254, 43.04311, -8.017191
637530062033394710, 0.0519328, 43.01073, -7.628427
637530062033396590, -0.05690371, 43.27787, -7.830333
637530062059834570, -0.2202406, 43.41849, -7.934099
637530062059836990, -0.05405909, 43.05025, -8.510897
637530062059839140, 0.4191026, 43.15831, -7.914474
637530062059841180, -0.2275329, 43.42266, -7.641251
637530062059843160, -0.002402335, 43.4044, -7.928474
637530062059845040, 0.2509032, 43.30171, -7.823008
637530062059846830, 0.2440249, 43.07965, -8.113108
637530062059848710, 0.2130042, 43.39169, -7.825233
637530062059850710, -0.01414318, 43.18511, -8.023341
637530062059852580, -0.0471807, 43.27231, -8.220798
637530062059854570, -0.3268117, 43.16405, -7.835434
637530062059856610, 0.1090302, 43.65606, -8.222372
637530062059858680, -0.04759361, 43.49854, -7.637851
637530062059860660, -0.01171243, 43.18372, -8.120957
637530062059862460, -0.004833087, 43.40578, -7.830858
637530062059864310, -0.01414318, 43.18511, -8.023341
637530062059866580, -0.3199333, 43.38611, -7.545335
637530062059868770, -0.3243809, 43.16267, -7.93305
637530062059870780, -0.01900469, 43.18789, -7.828109
637530062059872670, 0.2324503, 43.38057, -8.606162
637530062059875380, 2.841651E-05, 43.403, -8.026091
637530062059878010, 0.3244377, 43.64334, -8.119131
637530062059880010, 0.1702437, 43.48444, -7.632226
637530062059881980, 0.002045304, 43.62784, -7.540759
637530062059883910, 0.2223143, 43.61235, -7.632751
637530062059885900, 0.187259, 43.47471, -8.315538
637530062059887940, 0.2130042, 43.39169, -7.825233
637530062059889950, 0.14936, 43.56469, -8.317762
637530062059891890, 0.397805, 43.46479, -8.017065
637530062059893820, 0.3005431, 43.43102, -7.725917
637530062059895620, -0.02143544, 43.18928, -7.730493
637530062059897420, -0.08751047, 43.36367, -8.125406
637530062059899710, 0.01646453, 43.09931, -7.728268
637530062059901730, -0.2796035, 43.29475, -7.640727
637530062059903550, -0.2532781, 43.50569, -8.131557
637530062059905480, -0.004833087, 43.40578, -7.830858
637530062059907440, -0.03560609, 42.9714, -7.727744
637530062059909400, -0.381313, 43.03753, -7.737294
637530062059913470, 0.05922505, 43.00656, -7.921275
637530062059916300, 0.2747979, 43.51404, -8.216222
637530062059918600, -0.5114452, 43.61115, -8.04179
637530062059920760, -0.340817, 43.46636, -8.230873
637530062059922820, 0.07096495, 43.22583, -7.826408
637530062059924880, -0.05447295, 43.27648, -7.927949
637530062059926950, 0.01419906, 43.62089, -8.02884
637530062059929030, 0.09226257, 42.91936, -7.723819
637530062059930900, -0.4522496, 43.2147, -7.936975
637530062059932760, -0.00928168, 43.18233, -8.218574
637530062059934930, 0.3739114, 43.25246, -7.623851
637530062059937110, 0.01444669, 42.87447, -8.213599
637530062059939230, 0.1161572, 43.13169, -8.117032
637530062059941170, 0.4829122, 43.5055, -7.820132
637530062059943020, 0.1157424, 43.35792, -7.534085
637530062059944980, 0.3054046, 43.42824, -7.921149
637530062059947770, -0.09010746, 42.84488, -7.629603
637530062059950100, 0.1112957, 43.13447, -7.9218
637530062059952100, -0.1847724, 43.32991, -7.834258
637530062059954420, -0.09480272, 43.36784, -7.832558
637530062059956690, -0.1541656, 43.2441, -7.539186
637530062059958670, -0.08751047, 43.36367, -8.125406
637530062059960520, 0.03063518, 43.3172, -7.731018
637530062059962510, 0.1657951, 43.26099, -8.01994
637530062059964600, -0.1065436, 43.14857, -7.927425
637530062059966990, 0.009337559, 43.62367, -7.833607
637530062059969550, 0.2413474, 43.82747, -7.830731
637530062059972940, -0.1493041, 43.24132, -7.734418
637530062059976360, -0.2771727, 43.29336, -7.738343
637530062059978560, -0.2178099, 43.4171, -8.031715
637530062059980430, -0.2907642, 43.36943, -8.716728
637530062059982260, 0.2697701, 42.99663, -7.622802
637530062059984060, -0.002402335, 43.4044, -7.928474
637530062059985880, -0.002402335, 43.4044, -7.928474
637530062059987750, -0.3481093, 43.47053, -7.938024
637530062059989660, 0.2624779, 43.0008, -7.329954
637530062059991610, 0.0948586, 43.43816, -8.219623
637530062059993420, 0.1347755, 43.57302, -7.732067
637530062059995260, 0.2415941, 43.08104, -8.015491
637530062059997290, 0.2012644, 43.17241, -7.9201
637530062059999350, -0.08063112, 43.58574, -7.835308
637530062060002040, -0.3622799, 43.25264, -7.935275
637530062060004700, 0.007320672, 43.39883, -8.318938
637530062060007200, 0.1964028, 43.17519, -7.724868
637530062060009260, -0.05447295, 43.27648, -7.927949
637530062060012740, 0.4756199, 43.50967, -7.527284
637530062060015860, 0.2557648, 43.29893, -8.01824
637530062060018020, -0.2319815, 43.19921, -8.028966
637530062060020580, -0.02143544, 43.18928, -7.730493
637530062060023480, 0.1823975, 43.47749, -8.120306
637530062060026590, 0.0899971, 43.44094, -8.02439
637530062060029170, 0.05209808, 43.53091, -8.026615
637530062060031230, -0.1847724, 43.32991, -7.834258
637530062060033150, 0.03306593, 43.31581, -7.828633
637530062060034900, -0.002402335, 43.4044, -7.928474
637530062060036640, -0.04046759, 42.97418, -7.532511
637530062060038390, -0.2461512, 42.98132, -8.026217
637530062060040120, 0.1798014, 42.95869, -7.624502
637530062060041910, -0.02369995, 43.71087, -8.031064
637530062060043710, 0.1870937, 42.95452, -7.91735
637530062060045850, 0.1609336, 43.26377, -7.824708
637530062060047660, 0.1682259, 43.2596, -8.117557
