X,Y,Error,MinError,MaxError
13.00,9.80,0.55,0.14,1.35
13.00,8.80,0.86,0.01,1.67
12.00,7.80,0.49,0.10,0.90
7.40,7.80,1.87,0.92,3.86
8.50,9.80,3.13,0.72,6.87
10.20,5.30,1.53,0.57,3.27
7.80,2.50,2.82,0.86,5.28
1.50,4.80,2.26,0.48,3.16
1.00,1.00,5.10,2.55,8.44
6.10,2.30,2.87,0.70,5.58
0.50,6.80,4.12,1.03,7.73
-3.00,4.50,1.23,0.65,1.74
-1.50,6.00,0.85,0.59,1.38
-4.40,10.8,1.83,0.51,4.29
-3.80,7.80,3.84,1.43,8.88
11.30,5.30,1.38,0.41,2.54
10.50,3.40,3.92,0.32,5.83
13.30,3.40,1.25,0.80,2.63
13.30,1.50,2.96,1.11,6.89
13.50,9.80,1.04,0.82,1.26
11.00,9.80,2.08,1.59,2.51
13.50,6.80,2.12,0.96,3.34
12.00,8.80,1.06,0.86,1.14
11.00,6.80,1.42,1.25,1.60
11.00,1.50,1.00,0.43,1.49
7.80,1.00,2.68,1.25,4.91
-1.00,4.80,1.00,0.87,1.08
4.00,2.30,1.20,0.59,1.80
5.00,4.50,2.34,1.74,3.23
3.00,6.80,2.74,1.42,4.09
11.00,5.30,1.83,0.80,2.86
11.00,7.80,0.95,0.62,1.28
13.00,7.80,0.79,0.56,0.91
