"X","Y","max"
-1.5,6.0,-77.545456
0.5,6.8,-77.545456
12.0,9.8,-71.27273
11.0,9.8,-69.44444
0.0,0.0,-90.111115
12.0,7.8,-67.0
7.8,3.5,-74.5
11.3,3.4,-63.625
9.8,8.8,-79.5
11.0,7.8,-56.18182
3.0,6.8,-80.25
7.3,4.5,-78.2
13.5,6.8,-67.4375
7.8,2.5,-79.64286
6.1,2.3,-73.64706
13.0,6.8,-67.64286
-4.4,10.8,-92.13333
1.5,4.8,-80.22727
10.2,5.3,-78.413795
7.4,7.8,-78.8421
12.0,6.8,-65.0
12.0,8.8,-67.92857
4.0,2.3,-77.36364
13.3,1.5,-74.91304
13.5,8.8,-69.875
13.0,9.8,-70.888885
1.0,1.0,-78.69231
10.2,6.3,-72.75
13.3,3.4,-72.17391
13.5,9.8,-73.625
12.0,1.0,-74.545456
-3.8,7.8,-83.6
11.0,6.8,-60.705883
-3.0,4.5,-81.545456
10.5,3.4,-65.26667
5.0,4.5,-76.72727
11.3,5.3,-79.0
13.0,7.8,-68.7
-1.0,4.8,-70.78571
7.8,1.0,-83.05882
8.5,9.8,-80.62069
11.0,8.8,-68.44444
13.0,8.8,-67.117645
6.4,10.8,-82.25
13.3,7.8,-72.833336
11.0,1.5,-78.94118
11.0,5.3,-72.25
