"X","Y","SignalId","Strength"
"7.3","4.5","AMNET85_0649","-53.9"
"10.2","5.3","AMNET85_0649","-53.3"
"10.2","6.3","AMNET85_0649","-48.1"
"6.4","10.8","AMNET85_0649","-59.2"
"6.4","9.3","AMNET85_0649","-65.7"
"-3.0","4.5","AMNET85_0649","-66.10811"
"7.8","1.0","AMNET85_0649","-57.5"
"7.8","3.5","AMNET85_0649","-55.6"
"7.8","2.5","AMNET85_0649","-59.5"
"12.0","1.0","AMNET85_0649","-63.625"
"10.5","3.4","AMNET85_0649","-55.5"
"9.8","8.8","AMNET85_0649","-51.1"
"8.5","9.8","AMNET85_0649","-53.8"
"13.3","1.5","AMNET85_0649","-64.72727"
"11.3","5.3","AMNET85_0649","-63.1"
"11.0","1.5","AMNET85_0649","-63.5"
"11.0","5.3","AMNET85_0649","-56.914288"
"-1.5","6.0","AMNET85_0649","-67.22222"
"13.5","9.8","AMNET85_0649","-54.363636"
"13.0","9.8","AMNET85_0649","-55.7"
"12.0","9.8","AMNET85_0649","-52.5"
"11.0","9.8","AMNET85_0649","-51.3"
"13.5","8.8","AMNET85_0649","-52.0"
"13.5","6.8","AMNET85_0649","-49.5"
"13","6.8","AMNET85_0649","-52.454544"
"12.0","6.8","AMNET85_0649","-54.5"
"11","6.8","AMNET85_0649","-53.7"
"13.0","8.8","AMNET85_0649","-51.8"
"12.0","8.8","AMNET85_0649","-51.6"
"11.0","8.8","AMNET85_0649","-51.0"
"11.0","7.8","AMNET85_0649","-51.9"
"13.3","7.8","AMNET85_0649","-51.1"
"13.0","7.8","AMNET85_0649","-51.8"
"12.0","7.8","AMNET85_0649","-53.5"
"6.1","2.3","AMNET85_0649","-61.0"
"4.0","2.3","AMNET85_0649","-58.25"
"5.0","4.5","AMNET85_0649","-53.75"
"1.0","1.0","AMNET85_0649","-61.0"
"0.5","6.8","AMNET85_0649","-61.0"
"3.0","6.8","AMNET85_0649","-61.0"
"1.5","4.8","AMNET85_0649","-65.333336"
"-1.0","4.8","AMNET85_0649","-61.75"
"-3.8","7.8","AMNET85_0649","-75.28571"
"-4.4","10.8","AMNET85_0649","-78.933334"
"7.4","7.8","AMNET85_0649","-47.67647"
