"Name","X","Y","SignalId","Strength","StrengthY","StrengthZ"
Janela,7.8,1.0,Magnetic Field,21.623785,12.00909,16.755682
D3,13.0,9.8,Magnetic Field,23.84707,15.273969,17.575815
C1,11.0,8.8,Magnetic Field,18.946554,12.508864,13.2818365
Centro,7.8,2.5,Magnetic Field,22.143908,16.87538,14.30773
Quartos 1-2,10.2,6.3,Magnetic Field,23.635994,19.123743,13.800813
Escritório,7.3,4.5,Magnetic Field,20.098383,14.382979,13.293555
Entrada,7.8,3.5,Magnetic Field,22.30757,17.548431,13.321283
Fogão,-3.0,4.5,Magnetic Field,22.861961,15.383251,16.823467
Centro,10.2,5.3,Magnetic Field,25.113304,20.794981,13.572615
Mesa,-1.5,6.0,Magnetic Field,20.65839,15.883946,13.179185
Box,6.4,9.3,Magnetic Field,25.289392,20.315903,15.056708
Corredor,10.5,3.4,Magnetic Field,24.95169,20.815937,13.426102
Cama,12.0,1.0,Magnetic Field,28.997929,23.896212,16.195683
Janela,13.3,1.5,Magnetic Field,26.455973,22.636784,13.5634775
Janela,8.5,9.8,Magnetic Field,27.69418,23.046623,15.195662
Cama,7.4,7.8,Magnetic Field,25.183678,19.963615,15.221615
Pia,6.4,10.8,Magnetic Field,23.68287,18.932785,14.22338
Armários,9.8,8.8,Magnetic Field,22.934322,18.409895,13.11119
Box,11.3,5.3,Magnetic Field,27.694607,23.099161,14.778406
Closet,11.0,1.5,Magnetic Field,27.542141,22.823853,15.223309
Pia,11.0,5.3,Magnetic Field,25.232716,20.464123,14.550265
Mesa de jantar 2,0.5,6.8,Magnetic Field,21.846085,14.592209,15.660125
Mesa de jantar 1,3.0,6.8,Magnetic Field,18.919884,13.496938,12.649447
Centro,1.5,4.8,Magnetic Field,24.140528,19.344954,14.16733
Centro,7.8,2.9,Magnetic Field,26.293938,22.945887,12.781462
Sofa laranja,6.1,2.3,Magnetic Field,26.376717,20.778534,16.063972
Sofá pequeno,5.0,4.5,Magnetic Field,22.892298,14.578813,16.44566
Porta,1.0,1.0,Magnetic Field,21.982325,17.481554,13.153916
Sofa grande,4.0,2.3,Magnetic Field,23.900234,18.708782,14.526434
Centro,-1.0,4.8,Magnetic Field,21.30531,14.759761,14.505156
A2,12.0,6.8,Magnetic Field,21.710302,16.639664,13.3305
A1,11.0,6.8,Magnetic Field,25.864542,22.382565,12.784739
D2,12.0,9.8,Magnetic Field,24.307718,16.992466,17.028326
D4,13.5,9.8,Magnetic Field,24.07739,12.029089,19.979324
C4,13.5,8.8,Magnetic Field,18.210737,13.994641,10.3235445
D1,11.0,9.8,Magnetic Field,27.541319,22.77655,15.157829
A3,13.0,6.8,Magnetic Field,22.233093,16.228477,14.513295
B2,12.0,7.8,Magnetic Field,24.82719,23.352312,8.13421
C3,13.0,8.8,Magnetic Field,14.070952,11.385183,6.9817076
C2,12.0,8.8,Magnetic Field,14.190407,10.77814,8.045902
A4,13.5,6.8,Magnetic Field,23.119616,15.984957,15.410583
B1,11.0,7.8,Magnetic Field,17.520681,12.380458,11.726883
B3,13.0,7.8,Magnetic Field,26.853365,25.361147,8.372354
B4,13.3,7.8,Magnetic Field,28.003645,25.882843,10.418569
Entrada,-3.8,7.8,Magnetic Field,25.693127,20.68953,15.143007
Porta,-4.4,10.8,Magnetic Field,22.347603,18.12692,12.972765
