"Name","X","Y","SignalId","Strength"
A1,11.0,6.8,AMNET85_0649,-54.4
D4,13.5,9.8,AMNET85_0649,-55.533333
Quartos 1-2,10.2,6.3,AMNET85_0649,-50.533333
Centro,10.2,5.3,AMNET85_0649,-53.466667
Escritório,7.3,4.5,AMNET85_0649,-54.866665
Janela,8.5,9.8,AMNET85_0649,-54.789474
Pia,11.0,5.3,AMNET85_0649,-57.695652
Sofá pequeno,5.0,4.5,AMNET85_0649,-54.46154
A3,13.0,6.8,AMNET85_0649,-54.3125
A2,12.0,6.8,AMNET85_0649,-53.933334
D1,11.0,9.8,AMNET85_0649,-54.0
D2,12.0,9.8,AMNET85_0649,-54.133335
C4,13.5,8.8,AMNET85_0649,-53.066666
B3,13.0,7.8,AMNET85_0649,-52.333332
B2,12.0,7.8,AMNET85_0649,-53.733334
Box,13.3,3.4,AMNET85_0649,-68.8
Fogão,-3.0,4.5,AMNET85_0649,-66.10811
Mesa,-1.5,6.0,AMNET85_0649,-67.22222
Cama,12.0,1.0,AMNET85_0649,-64.53846
Janela,13.3,1.5,AMNET85_0649,-66.3125
Pia,6.4,10.8,AMNET85_0649,-59.2
Box,6.4,9.3,AMNET85_0649,-65.7
Box,11.3,5.3,AMNET85_0649,-62.944443
Closet,11.0,1.5,AMNET85_0649,-65.07692
Armários,9.8,8.8,AMNET85_0649,-51.0
Pia,11.3,3.4,AMNET85_0649,-66.8
Mesa de jantar 2,0.5,6.8,AMNET85_0649,-61.0
Mesa de jantar 1,3.0,6.8,AMNET85_0649,-60.0
Centro,-1.0,4.8,AMNET85_0649,-60.384617
Sofa laranja,6.1,2.3,AMNET85_0649,-61.0
Sofa grande,4.0,2.3,AMNET85_0649,-58.2
Porta,1.0,1.0,AMNET85_0649,-61.0
Centro,1.5,4.8,AMNET85_0649,-62.909092
Entrada,-3.8,7.8,AMNET85_0649,-75.28571
Porta,-4.4,10.8,AMNET85_0649,-78.933334
B1,11.0,7.8,AMNET85_0649,-53.6
A4,13.5,6.8,AMNET85_0649,-52.0
C3,13.0,8.8,AMNET85_0649,-53.266666
C2,12.0,8.8,AMNET85_0649,-52.4
C1,11.0,8.8,AMNET85_0649,-51.933334
B4,13.3,7.8,AMNET85_0649,-52.133335
Cama,7.4,7.8,AMNET85_0649,-47.666668
Entrada,7.8,3.5,AMNET85_0649,-57.466667
Centro,7.8,2.5,AMNET85_0649,-58.533333
Janela,7.8,1.0,AMNET85_0649,-57.933334
Corredor,10.5,3.4,AMNET85_0649,-55.53846
D3,13.0,9.8,AMNET85_0649,-56.533333

