Time,X,Y,Z,Norm
0.005,-12.84,14.94,4.16,20.14
0.017,-13.14,14.65,3.68,20.02
0.038,-12.94,14.65,3.68,19.89
0.059,-12.55,14.74,3.58,19.69
0.078,-13.04,14.84,3.77,20.11
0.099,-13.23,14.74,3.77,20.17
0.120,-12.75,14.94,3.97,20.04
0.141,-12.75,14.74,3.68,19.83
0.159,-12.84,14.74,3.97,19.95
0.180,-12.94,14.65,3.87,19.92
0.200,-12.94,14.94,3.58,20.09
0.220,-12.65,14.84,3.77,19.86
0.241,-13.14,15.04,3.77,20.32
0.261,-13.04,14.84,3.97,20.15
0.279,-12.65,14.84,3.48,19.81
0.300,-13.04,14.84,3.77,20.11
0.320,-12.55,14.74,4.07,19.79
0.339,-13.14,14.84,3.48,20.12
0.361,-12.84,14.94,3.58,20.02
0.380,-13.33,14.74,3.48,20.18
0.401,-13.04,14.84,3.48,20.06
0.421,-12.75,14.65,3.97,19.82
0.442,-12.84,14.65,3.97,19.88
0.460,-12.84,15.14,3.68,20.19
0.481,-12.94,14.74,3.58,19.94
0.502,-12.84,14.45,3.48,19.64
0.522,-13.04,14.65,3.68,19.95
0.541,-12.94,14.06,3.48,19.42
0.562,-12.94,14.26,4.16,19.70
0.581,-12.84,14.35,3.58,19.59
0.602,-12.94,14.55,3.97,19.87
0.622,-12.84,14.55,3.77,19.77
0.642,-12.65,14.35,3.68,19.48
0.662,-13.14,14.55,4.26,20.06
0.682,-13.33,14.26,3.68,19.86
0.702,-12.94,14.65,3.77,19.91
0.723,-12.65,14.55,3.68,19.63
0.743,-12.84,14.74,3.77,19.91
0.763,-13.04,14.84,3.97,20.15
0.783,-12.75,15.04,3.38,20.00
0.803,-13.04,14.45,3.77,19.83
0.824,-12.84,14.74,3.97,19.95
0.847,-12.94,14.84,3.68,20.03
0.863,-12.84,15.04,3.87,20.15
0.884,-12.84,14.74,3.87,19.93
0.904,-12.84,14.94,3.68,20.04
0.935,-12.84,14.94,3.87,20.08
0.952,-12.84,14.55,3.68,19.75
0.965,-13.14,14.94,3.77,20.25
0.984,-13.04,15.14,3.48,20.28
1.004,-12.84,14.65,3.38,19.77
1.026,-13.14,14.26,3.77,19.75
1.045,-12.84,14.35,3.58,19.59
1.065,-12.94,14.65,3.97,19.94
1.086,-12.94,14.65,3.77,19.91
1.106,-12.94,14.55,3.58,19.80
1.126,-12.84,14.26,3.48,19.50
1.146,-13.04,14.55,3.77,19.90
1.166,-13.23,14.35,3.97,19.92
1.186,-13.23,14.26,4.16,19.89
1.207,-12.55,14.35,3.58,19.40
1.237,-12.65,14.55,3.97,19.68
1.253,-12.84,14.55,4.16,19.85
1.266,-13.04,14.55,3.97,19.94
1.286,-12.75,14.45,4.16,19.71
1.307,-12.55,14.65,3.77,19.65
1.330,-12.84,14.55,3.87,19.79
1.354,-12.55,14.65,3.48,19.60
1.372,-12.94,14.74,3.87,20.00
1.387,-12.94,14.84,3.68,20.03
1.407,-12.94,14.74,3.58,19.94
1.437,-13.23,14.74,4.07,20.23
1.453,-12.84,14.84,3.77,19.99
1.468,-12.94,14.45,4.16,19.84
1.488,-13.33,14.84,3.97,20.34
1.509,-12.75,15.04,4.07,20.13
1.537,-12.94,14.84,3.68,20.03
1.553,-13.23,14.84,3.68,20.22
1.569,-13.04,14.84,3.87,20.13
1.588,-12.84,14.55,3.68,19.75
1.609,-12.84,14.65,3.87,19.86
1.638,-13.14,14.74,3.97,20.14
1.653,-12.94,14.55,3.97,19.87
1.669,-13.14,14.84,4.07,20.23
1.690,-12.75,14.74,3.87,19.87
1.709,-12.94,14.65,3.87,19.92
1.737,-12.55,14.84,3.38,19.73
1.753,-12.84,14.74,3.48,19.86
1.770,-12.94,14.84,3.48,20.00
1.791,-12.75,14.74,3.68,19.83
1.813,-12.84,14.94,3.97,20.10
1.832,-13.14,14.65,3.97,20.07
1.856,-12.94,15.04,3.68,20.18
