Time,X,Y,Z,Norm
0.002,-1.03,-18.56,16.18,24.64
0.011,-1.32,-18.46,16.47,24.77
0.031,-0.73,-18.26,16.27,24.47
0.051,-0.54,-18.65,16.57,24.95
0.071,-1.12,-18.56,16.27,24.71
0.092,-1.12,-18.75,16.08,24.73
0.113,-1.22,-18.56,15.79,24.39
0.136,-0.93,-18.46,15.98,24.43
0.153,-0.83,-18.95,16.57,25.18
0.174,-1.22,-18.85,16.27,24.93
0.192,-0.93,-18.56,15.88,24.44
0.214,-0.83,-18.75,15.88,24.59
0.236,-1.12,-18.75,16.27,24.85
0.253,-1.32,-18.75,16.27,24.86
0.273,-1.42,-18.46,15.98,24.46
0.294,-1.03,-18.75,16.47,24.98
0.313,-1.22,-19.04,16.27,25.08
0.334,-1.12,-18.95,15.59,24.56
0.354,-1.03,-18.65,15.79,24.46
0.376,-1.42,-18.17,16.08,24.30
0.394,-1.22,-18.36,16.18,24.50
0.414,-1.03,-18.46,16.47,24.76
0.434,-0.44,-18.65,16.18,24.69
0.454,-1.32,-18.85,16.18,24.87
0.476,-1.22,-18.26,16.08,24.36
0.495,-1.32,-18.07,16.47,24.48
0.514,-0.83,-18.46,16.08,24.49
0.536,-1.03,-18.07,16.27,24.34
0.555,-1.03,-18.36,16.27,24.56
0.575,-1.12,-17.97,16.47,24.40
0.596,-0.93,-18.26,16.08,24.35
0.616,-0.54,-18.56,15.98,24.49
0.637,-0.93,-18.36,16.08,24.42
0.655,-1.03,-18.95,16.08,24.87
0.676,-1.22,-18.85,15.98,24.74
0.695,-1.12,-18.36,15.88,24.30
0.716,-1.03,-18.56,16.08,24.57
0.736,-1.42,-18.26,16.18,24.44
0.756,-0.83,-18.36,16.27,24.55
0.776,-1.32,-18.46,16.27,24.64
0.797,-1.12,-18.46,16.08,24.50
0.818,-1.22,-18.36,16.27,24.57
0.838,-1.12,-18.46,15.88,24.38
0.857,-0.93,-18.46,16.27,24.63
0.878,-1.42,-18.36,16.37,24.64
0.898,-1.03,-18.46,16.47,24.76
0.917,-0.83,-18.85,16.27,24.92
0.944,-0.64,-18.95,16.18,24.92
0.960,-1.12,-18.46,16.08,24.50
0.979,-1.12,-18.46,15.88,24.38
0.999,-0.93,-18.56,15.88,24.44
1.019,-1.03,-18.56,16.08,24.57
1.039,-1.42,-18.75,16.08,24.74
1.060,-1.03,-18.46,16.37,24.69
1.080,-1.12,-18.26,15.59,24.04
1.100,-1.03,-18.46,16.18,24.56
1.120,-1.12,-18.46,16.37,24.70
1.141,-1.03,-18.17,16.27,24.41
1.161,-0.93,-18.17,16.08,24.28
1.180,-1.12,-18.17,15.98,24.22
1.200,-1.03,-18.75,15.98,24.66
1.220,-0.93,-18.46,15.79,24.31
1.239,-1.22,-18.56,16.08,24.58
1.261,-0.83,-18.85,15.98,24.73
1.280,-1.12,-18.36,15.98,24.37
1.301,-1.32,-18.65,15.98,24.60
1.321,-1.22,-18.65,16.27,24.78
1.341,-1.22,-18.75,16.18,24.79
1.361,-1.22,-18.17,16.47,24.55
1.381,-1.32,-18.26,15.98,24.30
1.401,-1.22,-18.36,16.18,24.50
1.423,-1.03,-18.85,16.18,24.86
1.442,-0.93,-18.65,16.08,24.64
1.463,-0.93,-18.56,16.47,24.83
1.482,-0.93,-18.56,15.88,24.44
1.502,-1.03,-18.75,15.88,24.60
1.522,-1.52,-18.36,15.98,24.39
1.542,-0.93,-18.46,16.08,24.50
1.563,-0.93,-18.85,16.08,24.79
1.583,-0.93,-18.65,16.18,24.71
1.604,-0.93,-19.14,16.37,25.21
1.624,-0.54,-19.14,15.69,24.76
1.644,-1.22,-19.04,16.27,25.08
1.663,-1.12,-18.65,16.37,24.84
1.683,-1.03,-18.46,16.47,24.76
1.703,-0.83,-19.04,16.47,25.19
1.724,-1.22,-18.95,16.37,25.07
1.745,-1.52,-18.56,16.08,24.60
1.764,-1.12,-18.75,15.98,24.66
1.784,-0.93,-18.85,16.18,24.86
1.804,-1.03,-18.56,15.98,24.51
1.825,-0.73,-18.95,16.27,24.99
1.849,-0.73,-18.95,16.27,24.99
1.865,-1.03,-18.65,16.47,24.90
1.884,-0.93,-18.75,16.18,24.78
1.905,-1.32,-18.75,16.57,25.06
