Time,X,Y,Z
21.6078100, 0.3151746, 24.35994, -3.583728
21.6282330, -0.02080295, 24.55919, -3.581307
21.6485200, 0.419295, 24.5308, -3.195522
21.6680180, 0.04532288, 24.29015, -3.775429
21.6884310, -0.325975, 24.62249, -3.871241
21.7073820, 0.1528269, 24.46315, -3.094282
21.7280380, -0.4552597, 24.59118, -3.478857
21.7487200, 0.1315742, 24.24177, -3.58074
21.7689420, 0.8202701, 24.06178, -3.489713
21.7893730, 0.1460576, 24.45885, -3.680165
21.8094910, 0.2255396, 24.40618, -4.071358
21.8294110, -0.05386586, 24.69372, -3.484246
21.8503560, 0.148314, 24.46029, -3.484871
21.8700800, 0.3817201, 24.66245, -3.489049
21.8898600, 0.2114749, 24.76065, -3.683133
21.9108010, 0.04870753, 24.2923, -3.482488
21.9313340, -0.1534733, 24.52573, -3.481863
21.9512400, -0.02305939, 24.55776, -3.776601
21.9712220, 0.09625387, 24.37486, -3.678974
21.9914970, -0.0561223, 24.69229, -3.67954
22.0114180, -0.03599587, 24.91295, -3.290729
22.0314310, -0.156858, 24.52358, -3.774805
22.0527650, 0.2798562, 24.49303, -3.681961
22.0715490, 0.2590222, 24.84321, -3.879618
22.0916520, 0.3163028, 24.36066, -3.486081
22.1117340, -0.05499408, 24.693, -3.581893
22.1318840, 0.1129957, 24.59337, -3.583103
22.1519240, 0.3341728, 24.57989, -3.292564
22.1720520, 0.1471858, 24.45957, -3.582518
22.1922050, -0.1245036, 24.9599, -3.680712
22.2121530, 0.3783354, 24.66031, -3.781991
22.2323120, -0.2542081, 24.35703, -3.577128
22.2521080, -0.3271032, 24.62178, -3.968889
22.2723590, 0.3129182, 24.35851, -3.779022
22.2923140, 0.02900079, 24.64319, -3.582498
22.3125030, 0.2445369, 24.62613, -3.780194
22.3332510, 0.030129, 24.6439, -3.484851
22.3530030, 0.4437508, 24.9621, -3.784959
22.3731550, 0.2798562, 24.49303, -3.681961
22.3924170, 0.2137313, 24.76208, -3.487839
22.4124350, 0.278728, 24.49232, -3.779608
22.4325130, 0.4367453, 24.17847, -3.290806
22.4537930, 0.4367453, 24.17847, -3.290806
22.4735610, 0.5363528, 24.34646, -3.293189
22.4941920, 0.1449294, 24.45814, -3.777812
22.5146340, 0.2334371, 24.41119, -3.387829
22.5341930, -0.02080295, 24.55919, -3.581307
22.5549540, 0.5333868, 24.91586, -3.297329
22.5744470, 0.4170385, 24.52936, -3.390816
22.5951220, 0.2954688, 24.71083, -3.683738
22.6150640, 0.02900079, 24.64319, -3.582498
22.6354600, -0.08170545, 24.26027, -3.18775
22.6559230, 0.4634576, 24.61121, -3.684949
22.6771980, -0.1854071, 24.66097, -3.287155
22.6956620, 0.1594147, 24.67522, -3.877236
22.7154980, -0.08396189, 24.25883, -3.383044
22.7366650, -0.2827571, 24.49441, -3.089478
22.7564190, 0.1315742, 24.24177, -3.58074
22.7766390, 0.2676273, 24.27738, -3.387243
22.7961700, -0.02193117, 24.55848, -3.678954
22.8162500, 0.3991695, 24.31013, -3.584333
22.8354160, 0.4344888, 24.17704, -3.486101
22.8564860, 0.4136539, 24.52722, -3.683758
22.8758300, -0.0307735, 24.34497, -3.091295
22.8958930, -0.06835024, 24.47663, -3.384822
22.9159750, 0.6337038, 24.51302, -3.490865
22.9369260, 0.0776763, 24.72647, -3.681337
22.9573080, 0.3151746, 24.35994, -3.583728
22.9774820, 0.3196875, 24.36281, -3.19314
22.9982270, 0.3706194, 24.44752, -3.096684
23.0179860, 0.1836334, 24.3272, -3.386638
23.0375660, 0.2832409, 24.49518, -3.38902
23.0583130, 0.3464008, 24.79554, -3.587282
23.0783210, -0.02193117, 24.55848, -3.678954
23.0982920, 0.1308647, 24.81261, -3.389586
23.1183830, 0.2445369, 24.62613, -3.780194
23.1387820, 0.477942, 24.82829, -3.784373
23.1586560, 0.2877537, 24.49804, -2.998431
23.1789730, 0.2490497, 24.62899, -3.389606
23.1991640, 0.2144399, 24.19124, -3.678993
23.2194940, 0.06319192, 24.50938, -3.581912
23.2389930, 0.1802487, 24.32505, -3.679579
23.2597220, 0.1360871, 24.24463, -3.190152
23.2800700, 0.3452725, 24.79483, -3.68493
23.3000180, -0.2431083, 24.57196, -3.969494
23.3192990, 0.06432013, 24.5101, -3.484265
23.3395240, -0.0364146, 24.34139, -3.57953
23.3592380, 0.335301, 24.58061, -3.194917
23.3800570, 0.148314, 24.46029, -3.484871
23.3997490, 0.1516987, 24.46243, -3.191929
23.4197100, 0.2490497, 24.62899, -3.389606
23.4394830, 0.03464188, 24.64677, -3.094263
23.4596060, -0.1933046, 24.65596, -3.970685
23.4796930, -0.06947847, 24.47592, -3.482469
23.5013960, -0.02080295, 24.55919, -3.581307
23.5203730, 0.2479215, 24.62827, -3.487253
23.5401730, 0.1639276, 24.67809, -3.486648
23.5610110, -0.2010197, 24.44317, -3.285378
23.5807110, -0.01629007, 24.56206, -3.190719
23.6007780, -0.0660938, 24.47807, -3.189528
23.6207720, 0.0620637, 24.50867, -3.679559
23.6413280, 0.04983575, 24.29301, -3.384841
23.6634390, 0.1471858, 24.45957, -3.582518
23.6808340, -0.1865353, 24.66025, -3.384802
23.7014420, 0.2999817, 24.7137, -3.29315
23.7217980, 0.2821127, 24.49447, -3.486667
23.7430960, 0.2270865, 24.97845, -3.68491
23.7631890, 0.2687555, 24.2781, -3.289596
23.7831010, 0.217116, 24.76423, -3.194898
23.8036660, 0.296597, 24.71155, -3.586091
23.8236900, 0.2266678, 24.40689, -3.973711
23.8436330, 0.0776763, 24.72647, -3.681337
23.8646630, -0.1047978, 24.609, -3.580702
23.8833430, 0.1129957, 24.59337, -3.583103
23.9035580, 0.1107392, 24.59194, -3.778398
23.9238900, 0.030129, 24.6439, -3.484851
23.9449490, 0.3627219, 24.4425, -3.780214
23.9644810, 0.2821127, 24.49447, -3.486667
23.9850440, 0.02787257, 24.64247, -3.680145
24.0057240, -0.2530798, 24.35774, -3.479481
24.0254540, 0.07541987, 24.72503, -3.876631
24.0459640, -0.1147684, 24.39479, -3.090689
24.0652480, -0.1237941, 24.38906, -3.871866
24.0855520, 0.3319164, 24.57846, -3.487858
24.1044800, 0.08402689, 24.15921, -3.384255
24.1251030, 0.3638501, 24.44322, -3.682567
24.1447050, -0.2044043, 24.44102, -3.578319
