Time,X,Y,Z,Norm
0.033,15.97,14.65,11.88,24.71
0.036,15.38,14.94,12.17,24.66
0.037,15.48,14.84,11.88,24.51
0.053,15.57,14.65,12.17,24.60
0.082,15.38,14.74,12.27,24.59
0.092,15.57,14.74,11.59,24.38
0.112,15.48,14.74,12.17,24.60
0.130,15.48,14.65,11.98,24.44
0.151,15.09,14.74,12.17,24.35
0.170,15.48,14.45,12.27,24.47
0.191,15.67,14.74,12.46,24.87
0.211,15.87,14.94,12.37,25.06
0.232,15.77,14.65,11.78,24.54
0.254,15.87,14.84,11.98,24.81
0.272,15.67,14.84,11.98,24.69
0.292,15.97,14.65,11.88,24.71
0.312,15.67,14.74,12.07,24.67
0.333,15.77,14.74,12.07,24.74
0.352,16.16,14.55,11.68,24.69
0.373,15.87,14.94,11.68,24.73
0.395,15.97,14.94,12.46,25.17
0.413,15.57,14.84,12.07,24.67
0.433,15.87,14.16,11.88,24.36
0.453,15.87,14.65,11.88,24.65
0.475,15.77,14.74,11.88,24.64
0.495,15.57,14.84,12.07,24.67
0.513,15.57,14.65,12.07,24.55
0.533,16.06,14.84,11.59,24.75
0.554,15.87,14.84,12.07,24.86
0.574,15.57,14.65,11.88,24.46
0.594,15.97,14.65,12.37,24.95
0.619,15.87,14.55,11.29,24.31
0.634,15.87,14.65,11.88,24.65
0.654,15.28,14.65,12.07,24.37
0.676,16.16,14.65,11.59,24.70
0.695,15.28,14.74,11.78,24.28
0.715,15.48,14.65,11.98,24.44
0.736,15.67,14.35,11.98,24.39
0.757,15.67,14.65,11.59,24.38
0.777,15.57,14.55,11.98,24.45
0.795,15.77,14.45,11.59,24.33
0.815,15.87,14.55,11.68,24.49
0.836,15.57,14.84,11.88,24.58
0.856,15.57,15.04,11.98,24.74
0.877,15.67,14.55,11.88,24.46
0.896,15.67,14.45,11.88,24.40
0.916,15.87,14.55,11.88,24.59
0.936,15.57,14.84,12.27,24.77
0.957,15.57,14.84,11.49,24.39
0.977,15.87,14.65,12.07,24.74
0.997,15.57,14.74,11.78,24.47
1.017,15.77,14.65,11.59,24.44
1.037,15.57,14.74,11.78,24.47
1.065,15.87,14.55,11.78,24.54
1.078,15.57,14.35,12.27,24.48
1.096,15.57,14.74,11.68,24.42
1.117,15.77,14.45,11.98,24.51
1.137,15.97,14.94,11.98,24.93
1.160,15.77,14.55,11.88,24.53
1.183,15.67,15.04,12.17,24.90
1.198,15.77,14.45,11.68,24.37
1.218,15.77,14.65,11.98,24.63
1.238,15.57,14.55,12.37,24.64
1.260,16.06,14.26,11.88,24.54
1.279,15.38,14.45,11.49,24.03
1.299,15.57,14.65,12.37,24.70
1.324,15.48,14.45,11.59,24.14
1.340,15.67,14.74,11.88,24.58
1.359,15.57,14.65,12.07,24.55
1.380,15.67,14.55,12.07,24.56
1.400,15.67,14.84,12.37,24.88
1.420,15.97,14.55,11.59,24.51
1.440,15.97,14.65,12.07,24.80
1.460,15.57,14.35,12.37,24.53
1.481,15.67,14.55,12.27,24.65
1.500,15.87,15.04,12.27,25.07
1.521,15.57,14.55,11.88,24.40
1.541,15.97,14.84,11.88,24.83
1.562,15.57,14.55,12.46,24.69
1.583,15.87,14.84,11.68,24.67
1.602,15.67,14.45,11.88,24.40
1.621,15.87,14.65,12.27,24.84
1.643,15.28,14.84,11.88,24.39
1.661,15.57,14.84,11.88,24.58
1.681,15.18,14.84,11.98,24.38
1.702,15.67,14.74,11.78,24.53
1.722,15.38,14.74,11.78,24.35
1.743,15.57,14.55,11.68,24.31
1.763,15.77,14.65,11.98,24.63
1.783,15.57,14.84,11.88,24.58
1.802,15.09,14.74,11.49,24.02
1.822,15.48,14.65,11.98,24.44
1.845,15.67,14.84,11.98,24.69
1.863,15.48,14.55,12.27,24.53
1.884,15.87,14.84,12.07,24.86
1.903,15.77,14.55,11.98,24.57
1.928,15.77,14.84,11.98,24.75
1.944,15.67,14.74,11.88,24.58
1.964,15.67,14.94,11.98,24.74
1.984,15.67,14.55,11.78,24.42
2.004,15.38,14.65,11.98,24.38
2.025,15.77,14.45,12.07,24.56
2.044,15.67,14.45,12.07,24.50
2.065,15.97,14.65,12.37,24.95
2.085,15.67,14.45,11.78,24.36
2.106,15.97,14.45,11.68,24.50
2.126,15.67,14.55,11.88,24.46
2.146,15.97,14.84,12.27,25.01
2.165,15.38,14.55,12.07,24.37
2.186,15.57,14.74,11.68,24.42
2.206,15.48,14.65,12.07,24.49
2.228,15.48,14.74,12.27,24.65
2.246,15.67,14.35,11.98,24.39
2.266,15.57,14.65,11.78,24.41
2.286,16.06,14.55,12.07,24.81
2.306,15.38,14.74,11.78,24.35
2.327,15.67,14.65,11.78,24.47
2.347,15.57,14.84,12.27,24.77
2.366,15.57,14.74,11.88,24.52
2.386,15.38,14.84,12.07,24.55
2.406,15.87,14.65,11.68,24.55
2.427,16.06,14.35,11.78,24.55
2.448,15.97,14.74,12.07,24.86
2.467,15.67,14.45,11.59,24.26
2.488,15.57,14.65,11.68,24.36
2.511,15.67,14.84,11.78,24.59
2.527,15.77,14.45,12.07,24.56
2.547,15.57,14.74,12.07,24.61
2.569,15.97,14.55,11.78,24.60
2.589,16.16,14.35,11.78,24.62
2.610,15.77,14.55,12.27,24.72
2.631,15.67,14.35,12.07,24.44
2.653,15.67,14.55,12.07,24.56
2.670,15.57,14.26,11.98,24.27
2.689,15.57,14.35,11.78,24.24
2.709,15.57,14.45,12.07,24.44
2.729,15.97,14.45,12.27,24.78
2.750,15.77,14.35,12.07,24.51
2.770,15.87,14.35,11.29,24.19
2.789,15.28,14.55,12.07,24.31
2.810,16.06,14.65,11.98,24.82
2.829,15.87,14.16,12.07,24.45
2.850,15.97,14.35,12.17,24.68
2.871,15.67,14.26,12.07,24.39
2.891,15.77,14.35,11.88,24.41
