Posi��o;Desvio Padr�o;M�dia;Mediana;M�nimo;M�ximo
B0;0,5122717682159644;14,267869999999997;14,36385;13,560270000000001;15,18949
B2;0,26177104243430466;18,680532857142854;18,646279999999997;18,37601;19,15534
C1;0,5124380953843216;16,558797;16,744745;15,74937;17,22985
C2;0,403867425986961;16,735908000000002;16,610925;16,24821;17,52044
CZ1;1,0890917398317017;17,79766625;17,652425;16,38329;19,51746
CZ2;1,5562675935471382;22,280346666666667;22,80265;19,776989999999998;23,91883
L1;nan;12,87523;12,87523;12,87523;12,87523
L2;0,9012877422560849;16,433086250000002;16,20233;15,199770000000001;17,753339999999998
Q0;0,384038549882112;17,683472;17,740165;17,02982;18,21234
Q1;0,3904540938744698;16,664487;16,581580000000002;16,13839;17,1721
Q2;0,5221120480382222;18,263617999999997;18,286765;17,67515;19,27395
Q3;0,32313844257187646;17,520447;17,564954999999998;16,88727;17,86135
Q4;0,5522650317093132;16,935324;16,926735;16,21138;18,03134
Q5;0,4306415661364382;16,398581999999998;16,372245;15,7926;17,19399
Q6;0,552896063132826;16,238805555555555;16,56427;15,33889;16,76735
S0;0,26084303074938847;17,527558000000003;17,4959;17,07374;17,99717
S1;0,23753614307674953;16,248777000000004;16,192365;15,92407;16,68207
S2;0,3826663518523672;16,729347999999998;16,6637;16,324170000000002;17,465339999999998
S3;0,2839991497033439;15,994769;16,034145000000002;15,28305;16,33176
S4;0,3303569819587427;16,134632;16,121835;15,70266;16,57442
S5;0,25188026868159247;16,168058000000002;16,165005;15,730429999999998;16,60802
X0;0,37993270798919115;17,368519999999997;17,461985;16,68096;17,79269


Posi��o;Desvio Padr�o;M�dia;Mediana;M�nimo;M�ximo
B0;0,3097663992896729;13,505597999999997;13,5598;12,98583;13,86082
B2;0,2622734481868293;12,600122857142855;12,54723;12,37953;13,03973
C1;0,5113684670025562;10,3935739;10,344919999999998;9,684512;11,14611
C2;0,5960815820944496;14,225033000000002;14,332519999999999;13,37931;15,0804
CZ1;0,6083824177377346;9,401695125;9,4744825;8,635567;10,10903
CZ2;1,5529403413197964;11,854116222222222;11,680166;10,24938;15,003620000000002
L1;nan;13,88664;13,88664;13,88664;13,88664
L2;1,4015830009410022;12,16412875;12,47233;10,402330000000001;13,93992
Q0;0,232748010873467;12,485471;12,471945;12,11859;12,89064
Q1;0,4526875548248854;12,026005999999999;12,08491;11,33009;12,607660000000001
Q2;0,3271791903257636;11,374414;11,36447;10,92395;11,83849
Q3;0,5700668321092808;11,620514;11,464965;11,02347;12,47972
Q4;0,34885709003990584;13,856174000000001;13,77909;13,322460000000001;14,32603
Q5;0,474686844731462;13,517875;13,588470000000001;12,90832;14,150229999999999
Q6;0,4901529791413201;14,18612888888889;14,102820000000001;13,249179999999999;14,69484
S0;0,5660661478259178;12,7992775;12,844435;11,82206;13,71055
S1;0,43198724230776375;12,011965;12,128924999999999;11,25888;12,467130000000001
S2;0,4609852599246289;12,351517000000001;12,290685;11,83387;13,204279999999999
S3;0,605195873608059;10,979359;10,925065;10,15112;11,91189
S4;0,41273846451879564;12,084886000000001;12,033995;11,60095;12,678519999999999
S5;0,5374275388841843;12,321768;12,3428;11,52592;13,07835
X0;0,4583012055515457;14,365821;14,344335;13,77229;15,14972


Posi��o;Desvio Padr�o;M�dia;Mediana;M�nimo;M�ximo
B0;0,2852236409209815;-0,051885279699999995;-0,13818550000000002;-0,3291176;0,5241912000000001
B2;0,19432226818516507;-0,08866503528571427;-0,16661199999999998;-0,34938600000000003;0,2171179
C1;0,2865888501735003;0,13998933900000002;0,09673647;-0,2261029;0,582646
C2;0,2622785604106439;-0,080862451;-0,10249483;-0,37365929999999997;0,481548
CZ1;0,36777013280005744;-0,19749825224999998;-0,06459498999999999;-0,8085157;0,171768
CZ2;0,4182905692150993;0,2279975891111111;0,10669529999999999;-0,24679679999999998;0,9085151
L1;nan;-0,28568259999999995;-0,28568259999999995;-0,28568259999999995;-0,28568259999999995
L2;0,2559680693464495;-0,058901461249999995;-0,017415540000000004;-0,5576371999999999;0,2716638
Q0;0,27080507757772726;-0,10252087100000003;-0,12471342999999999;-0,5860168;0,3439346
Q1;0,286588334888318;-0,08580561499999999;-0,097370505;-0,4971139;0,499537
Q2;0,2813518486999443;-0,14221334116;-0,1503346;-0,5632092;0,25150059999999996
Q3;0,21191390048382439;-0,14898288899999998;-0,12594375;-0,45272399999999996;0,1385142
Q4;0,26579047083670065;-0,141231243;-0,14904435;-0,5014859;0,3329229
Q5;0,35736379244698724;0,13937985599999997;0,067450825;-0,312396;0,6990946
Q6;0,18090261969749794;0,020358521666666674;-0,05978467;-0,20572359999999998;0,41925200000000007
S0;0,3107433898995278;-0,05042701195;-0,0433708995;-0,6529678000000001;0,5033702999999999
S1;0,2335734982159223;0,053128644;0,052459809999999996;-0,390108;0,5341501000000001
S2;0,33519282062927375;-0,007257522000000009;0,009638705000000001;-0,6015566999999999;0,4919415
S3;0,30581599444882346;-0,085665982;-0,20977664999999998;-0,4218514;0,4207878
S4;0,2462609548343813;-0,05163202800000001;-0,15212355;-0,3608125;0,42037929999999996
S5;0,23982636957419817;-0,014043158000000005;-0,020313075;-0,37476240000000005;0,3332961
X0;0,3239429026734351;-0,112572232;-0,13151823499999998;-0,4477325;0,5649062
